Username;Password;Email;User/Admin
MyProfile;ABCdef#66;ruca@ofilho.gmail.com;User
Antonio Amorim;supperPassAntony34%;antonio.ogrande@gmail.com;User
Henrique;123#asdASD;henrique.medio@gmail.com;User
Gabriel;qwertyu123$A;mr,sousapuasb 2ganicme.com;User
qwerty;qwe1A"aa;qew;User
qwertyp;Aa1!qwerty;email@gmail.com;User
Username de Teste;palavraChave123#;test@gmail.com;User
Tester;tester123#A;tester@mail.com;User
qwertyua;123#Ab78;mail;User
qwertyui;QWErty123#;qwertyui;User
1234;123#qweT;m@p;User
qwertyuiop;qweR123#;boo@boo;User
qwertyuioplll;qwerty123#E;bot@mama;User
